in s,C1 in V,C3 in V
-9.300E-08,3.95508E-03,2.49023E-03
-9.280E-08,3.46680E-03,2.97852E-03
-9.260E-08,3.46680E-03,4.44336E-03
-9.240E-08,5.41992E-03,4.44336E-03
-9.220E-08,4.93164E-03,4.44336E-03
-9.200E-08,3.46680E-03,4.44336E-03
-9.180E-08,2.00195E-03,2.97852E-03
-9.160E-08,3.95508E-03,1.51367E-03
-9.140E-08,5.41992E-03,1.02539E-03
-9.120E-08,5.41992E-03,2.49023E-03
-9.100E-08,4.93164E-03,3.46680E-03
-9.080E-08,4.93164E-03,2.49023E-03
-9.060E-08,5.90820E-03,5.37109E-04
-9.040E-08,7.37305E-03,2.49023E-03
-9.020E-08,6.88477E-03,4.93164E-03
-9.000E-08,7.86133E-03,8.34961E-03
-8.980E-08,7.86133E-03,8.83789E-03
-8.960E-08,9.32617E-03,7.86133E-03
-8.940E-08,7.37305E-03,6.39648E-03
-8.920E-08,5.41992E-03,5.90820E-03
-8.900E-08,3.95508E-03,4.44336E-03
-8.880E-08,6.88477E-03,6.88477E-03
-8.860E-08,1.46973E-02,1.37207E-02
-8.840E-08,1.71387E-02,1.81152E-02
-8.820E-08,8.34961E-03,1.32324E-02
-8.800E-08,-1.41602E-03,4.44336E-03
-8.780E-08,-7.27539E-03,-1.90430E-03
-8.760E-08,-4.83398E-03,-9.27734E-04
-8.740E-08,-1.41602E-03,3.46680E-03
-8.720E-08,1.51367E-03,3.95508E-03
-8.700E-08,-9.27734E-04,2.49023E-03
-8.680E-08,4.88281E-05,-9.27734E-04
-8.660E-08,2.00195E-03,-9.27734E-04
-8.640E-08,3.46680E-03,1.51367E-03
-8.620E-08,4.44336E-03,4.44336E-03
-8.600E-08,5.90820E-03,5.41992E-03
-8.580E-08,5.90820E-03,4.93164E-03
-8.560E-08,4.44336E-03,2.97852E-03
-8.540E-08,2.97852E-03,5.37109E-04
-8.520E-08,1.51367E-03,-2.39258E-03
-8.500E-08,2.00195E-03,-3.36914E-03
-8.480E-08,4.44336E-03,-1.90430E-03
-8.460E-08,4.93164E-03,4.88281E-05
-8.440E-08,7.37305E-03,-4.39453E-04
-8.420E-08,6.39648E-03,1.02539E-03
-8.400E-08,6.88477E-03,2.97852E-03
-8.380E-08,7.86133E-03,3.95508E-03
-8.360E-08,6.88477E-03,5.41992E-03
-8.340E-08,4.93164E-03,3.95508E-03
-8.320E-08,3.46680E-03,2.00195E-03
-8.300E-08,1.02539E-03,4.88281E-05
-8.280E-08,2.00195E-03,-4.39453E-04
-8.260E-08,3.95508E-03,2.97852E-03
-8.240E-08,5.41992E-03,5.90820E-03
-8.220E-08,6.88477E-03,8.34961E-03
-8.200E-08,5.90820E-03,7.37305E-03
-8.180E-08,3.46680E-03,5.90820E-03
-8.160E-08,4.93164E-03,6.39648E-03
-8.140E-08,5.90820E-03,8.83789E-03
-8.120E-08,7.37305E-03,1.07910E-02
-8.100E-08,6.39648E-03,9.81445E-03
-8.080E-08,4.44336E-03,8.34961E-03
-8.060E-08,5.41992E-03,6.39648E-03
-8.040E-08,4.44336E-03,3.95508E-03
-8.020E-08,2.97852E-03,2.00195E-03
-8.000E-08,2.97852E-03,2.49023E-03
-7.980E-08,6.39648E-03,4.93164E-03
-7.960E-08,9.32617E-03,5.90820E-03
-7.940E-08,9.81445E-03,4.44336E-03
-7.920E-08,5.90820E-03,4.44336E-03
-7.900E-08,3.95508E-03,4.44336E-03
-7.880E-08,4.44336E-03,3.95508E-03
-7.860E-08,3.46680E-03,4.93164E-03
-7.840E-08,-3.85742E-03,4.88281E-05
-7.820E-08,-8.25195E-03,-4.83398E-03
-7.800E-08,1.02539E-03,-1.90430E-03
-7.780E-08,1.51855E-02,7.86133E-03
-7.760E-08,2.49512E-02,1.76270E-02
-7.740E-08,2.10449E-02,1.71387E-02
-7.720E-08,9.81445E-03,7.37305E-03
-7.700E-08,2.49023E-03,1.51367E-03
-7.680E-08,5.90820E-03,5.41992E-03
-7.660E-08,8.34961E-03,1.07910E-02
-7.640E-08,8.34961E-03,9.32617E-03
-7.620E-08,5.90820E-03,6.88477E-03
-7.600E-08,4.44336E-03,3.95508E-03
-7.580E-08,3.95508E-03,2.49023E-03
-7.560E-08,3.95508E-03,2.00195E-03
-7.540E-08,6.39648E-03,2.97852E-03
-7.520E-08,1.17676E-02,5.90820E-03
-7.500E-08,1.32324E-02,6.88477E-03
-7.480E-08,1.07910E-02,3.95508E-03
-7.460E-08,5.90820E-03,2.00195E-03
-7.440E-08,2.00195E-03,4.88281E-05
-7.420E-08,5.37109E-04,4.88281E-05
-7.400E-08,2.97852E-03,1.02539E-03
-7.380E-08,5.41992E-03,3.95508E-03
-7.360E-08,7.37305E-03,4.93164E-03
-7.340E-08,6.39648E-03,2.97852E-03
-7.320E-08,5.41992E-03,5.37109E-04
-7.300E-08,2.49023E-03,1.51367E-03
-7.280E-08,2.49023E-03,5.37109E-04
-7.260E-08,2.00195E-03,1.51367E-03
-7.240E-08,3.95508E-03,1.02539E-03
-7.220E-08,4.93164E-03,1.51367E-03
-7.200E-08,8.83789E-03,1.51367E-03
-7.180E-08,1.07910E-02,3.46680E-03
-7.160E-08,1.03027E-02,2.97852E-03
-7.140E-08,9.81445E-03,2.97852E-03
-7.120E-08,9.32617E-03,3.46680E-03
-7.100E-08,8.34961E-03,3.95508E-03
-7.080E-08,8.83789E-03,3.95508E-03
-7.060E-08,7.86133E-03,4.44336E-03
-7.040E-08,6.39648E-03,6.39648E-03
-7.020E-08,4.93164E-03,1.03027E-02
-7.000E-08,6.88477E-03,1.32324E-02
-6.980E-08,6.88477E-03,1.17676E-02
-6.960E-08,7.86133E-03,6.39648E-03
-6.940E-08,6.88477E-03,2.97852E-03
-6.920E-08,6.88477E-03,2.00195E-03
-6.900E-08,7.37305E-03,4.44336E-03
-6.880E-08,9.32617E-03,6.88477E-03
-6.860E-08,9.32617E-03,6.88477E-03
-6.840E-08,7.86133E-03,3.95508E-03
-6.820E-08,6.88477E-03,4.93164E-03
-6.800E-08,1.27441E-02,8.34961E-03
-6.780E-08,1.95801E-02,1.66504E-02
-6.760E-08,2.20215E-02,2.00684E-02
-6.740E-08,1.37207E-02,1.61621E-02
-6.720E-08,5.37109E-04,5.41992E-03
-6.700E-08,-6.78711E-03,-9.27734E-04
-6.680E-08,-4.83398E-03,-9.27734E-04
-6.660E-08,-4.39453E-04,3.46680E-03
-6.640E-08,1.02539E-03,4.93164E-03
-6.620E-08,4.88281E-05,3.95508E-03
-6.600E-08,2.00195E-03,2.49023E-03
-6.580E-08,3.46680E-03,3.46680E-03
-6.560E-08,3.46680E-03,2.97852E-03
-6.540E-08,3.46680E-03,2.00195E-03
-6.520E-08,4.44336E-03,1.51367E-03
-6.500E-08,3.46680E-03,2.00195E-03
-6.480E-08,2.97852E-03,2.00195E-03
-6.460E-08,2.49023E-03,1.02539E-03
-6.440E-08,2.49023E-03,-1.41602E-03
-6.420E-08,2.97852E-03,-2.88086E-03
-6.400E-08,6.39648E-03,-3.85742E-03
-6.380E-08,5.90820E-03,-1.90430E-03
-6.360E-08,4.93164E-03,4.88281E-05
-6.340E-08,2.97852E-03,1.51367E-03
-6.320E-08,3.95508E-03,2.49023E-03
-6.300E-08,3.95508E-03,3.95508E-03
-6.280E-08,2.97852E-03,2.97852E-03
-6.260E-08,2.97852E-03,1.02539E-03
-6.240E-08,2.49023E-03,-1.90430E-03
-6.220E-08,2.97852E-03,-2.39258E-03
-6.200E-08,5.90820E-03,1.02539E-03
-6.180E-08,9.32617E-03,4.93164E-03
-6.160E-08,7.37305E-03,6.88477E-03
-6.140E-08,5.41992E-03,7.86133E-03
-6.120E-08,6.39648E-03,7.37305E-03
-6.100E-08,6.39648E-03,7.37305E-03
-6.080E-08,5.90820E-03,7.37305E-03
-6.060E-08,4.44336E-03,7.37305E-03
-6.040E-08,3.95508E-03,8.34961E-03
-6.020E-08,5.90820E-03,6.88477E-03
-6.000E-08,8.34961E-03,6.88477E-03
-5.980E-08,9.81445E-03,6.88477E-03
-5.960E-08,5.90820E-03,5.90820E-03
-5.940E-08,4.44336E-03,5.90820E-03
-5.920E-08,6.39648E-03,5.90820E-03
